Company_Name,NAIC_Code,Filing_State,Filing_Date,LOB,Rate_Change_Type,Rate_Change_Percent,Effective_Date,Prior_Rate_Level,New_Rate_Level,Filed_Territories,Market_Share_State,Avg_Premium_Before,Avg_Premium_After,Competitor_Positioning,Product_Tier,Filed_By,Approved_Status,Approval_Date
Atlas Mutual Insurance,75871,CA,2024-08-06,Commercial Auto,Rate Decrease,-2.3,2024-11-15,1.0,0.977,"CA-West, CA-North",0.7,990,967,Premium Below Market Avg,Mid-Tier,Actuarial Department,Rejected,
Atlas Mutual Insurance,75871,FL,2025-05-16,Commercial Auto,Rate Increase,3.0,2025-08-29,1.0,1.03,"FL-Central, FL-South",0.2,1272,1310,At Market Avg,Budget,Actuarial Department,Approved,2025-08-28
Atlas Mutual Insurance,75871,MA,2025-09-12,Commercial Auto,Rate Increase,7.7,2025-11-01,1.0,1.077,"MA-South, MA-West",0.4,1286,1385,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-12
Atlas Mutual Insurance,75871,MD,2024-07-15,Commercial Auto,Rate Increase,8.3,2024-08-15,1.0,1.083,"MD-South, MD-North",6.4,972,1053,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-08-13
Atlas Mutual Insurance,75871,NC,2024-06-17,Commercial Auto,Rate Increase,11.6,2024-09-14,1.0,1.116,"NC-Central, NC-East",2.2,2031,2267,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,NJ,2025-08-28,Commercial Auto,Rate Increase,2.3,2025-10-03,1.0,1.023,"NJ-South, NJ-West, NJ-North",11.7,1340,1371,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-23
Atlas Mutual Insurance,75871,NY,2025-07-31,Commercial Auto,Rate Decrease,-6.1,2025-09-12,1.0,0.939,"NY-West, NY-Central",5.1,2352,2209,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-09-21
Atlas Mutual Insurance,75871,OR,2025-10-18,Commercial Auto,Rate Increase,1.8,2026-01-14,1.0,1.018,"OR-South, OR-North",3.2,1566,1594,At Market Avg,Premium,Actuarial Department,Approved,2025-12-18
Atlas Mutual Insurance,75871,VA,2024-12-12,Commercial Auto,New Filing,0.0,2025-01-11,1.0,1.0,"VA-Central, VA-South",2.7,2008,2008,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-01-22
Atlas Mutual Insurance,75871,WA,2025-08-10,Commercial Auto,Rate Decrease,-3.5,2025-11-05,1.0,0.965,"WA-West, WA-East, WA-North",2.4,2353,2271,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-10-27
Atlas Mutual Insurance,75871,CA,2025-06-15,Homeowners,Rate Increase,1.9,2025-09-08,1.0,1.019,"CA-North, CA-South",9.1,2320,2364,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,FL,2025-06-02,Homeowners,Rate Decrease,-6.7,2025-07-21,1.0,0.933,"FL-South, FL-Central",6.6,1372,1280,Premium Below Market Avg,Premium,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,MA,2025-01-13,Homeowners,Rate Decrease,-6.7,2025-04-12,1.0,0.933,"MA-West, MA-South",7.3,2781,2595,Premium Below Market Avg,Premium,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,MD,2024-06-18,Homeowners,Rate Decrease,-5.5,2024-09-30,1.0,0.945,"MD-South, MD-North, MD-West",6.5,1833,1732,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2024-09-11
Atlas Mutual Insurance,75871,NC,2024-10-03,Homeowners,Rate Increase,6.4,2024-12-19,1.0,1.064,"NC-West, NC-Central, NC-East",4.8,3435,3655,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,NJ,2025-02-02,Homeowners,Rate Increase,4.9,2025-03-31,1.0,1.049,"NJ-South, NJ-Central",1.6,3296,3458,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-03-23
Atlas Mutual Insurance,75871,NY,2025-02-21,Homeowners,New Filing,0.0,2025-05-21,1.0,1.0,"NY-Central, NY-East, NY-South",2.6,2770,2770,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-05-19
Atlas Mutual Insurance,75871,OR,2024-09-27,Homeowners,Rate Increase,4.5,2024-11-28,1.0,1.045,"OR-North, OR-East",5.0,2304,2408,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-11-26
Atlas Mutual Insurance,75871,VA,2025-08-09,Homeowners,Rate Increase,7.4,2025-10-09,1.0,1.074,"VA-West, VA-East",2.8,2389,2566,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,WA,2025-11-18,Homeowners,Rate Increase,7.9,2026-02-23,1.0,1.079,"WA-West, WA-North, WA-South",7.2,1875,2023,Premium Above Market Avg,Premium,Actuarial Department,Approved,2026-02-20
Atlas Mutual Insurance,75871,CA,2025-04-06,Personal Auto,Rate Increase,11.6,2025-05-28,1.0,1.116,"CA-South, CA-Central",3.2,946,1056,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-05-27
Atlas Mutual Insurance,75871,FL,2025-07-16,Personal Auto,Rate Increase,9.0,2025-10-20,1.0,1.09,"FL-West, FL-East",3.0,1584,1727,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-10-06
Atlas Mutual Insurance,75871,MA,2025-04-01,Personal Auto,Rate Increase,2.9,2025-05-23,1.0,1.029,"MA-North, MA-South",12.5,1327,1365,At Market Avg,Budget,Actuarial Department,Approved,2025-05-09
Atlas Mutual Insurance,75871,MD,2024-10-02,Personal Auto,New Filing,0.0,2024-11-24,1.0,1.0,"MD-Central, MD-West",5.2,1321,1321,At Market Avg,Budget,Actuarial Department,Approved,2024-11-22
Atlas Mutual Insurance,75871,NC,2025-02-21,Personal Auto,Rate Increase,2.0,2025-04-26,1.0,1.02,"NC-South, NC-West",1.2,1354,1381,At Market Avg,Mid-Tier,Actuarial Department,Rejected,
Atlas Mutual Insurance,75871,NJ,2025-05-06,Personal Auto,Rate Decrease,-6.6,2025-07-10,1.0,0.934,"NJ-Central, NJ-West",2.5,1494,1395,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-06-19
Atlas Mutual Insurance,75871,NY,2024-11-28,Personal Auto,Rate Increase,5.2,2025-02-27,1.0,1.052,"NY-East, NY-South",5.8,1194,1256,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-01-12
Atlas Mutual Insurance,75871,OR,2025-08-07,Personal Auto,Rate Decrease,-6.5,2025-11-01,1.0,0.935,"OR-South, OR-North",3.4,1350,1262,Premium Below Market Avg,Premium,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,VA,2024-12-11,Personal Auto,Rate Increase,8.7,2025-02-20,1.0,1.087,"VA-West, VA-North",1.0,1504,1635,Premium Above Market Avg,Budget,Actuarial Department,Rejected,
Atlas Mutual Insurance,75871,WA,2025-02-20,Personal Auto,Rate Decrease,-3.6,2025-04-21,1.0,0.964,"WA-West, WA-North",3.7,1124,1084,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,CA,2025-07-25,Workers Comp,Rate Increase,8.1,2025-08-24,1.0,1.081,"CA-West, CA-South",2.4,2584,2793,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-09-19
Atlas Mutual Insurance,75871,FL,2024-09-21,Workers Comp,Rate Increase,11.2,2024-11-25,1.0,1.112,"FL-South, FL-West",7.2,2127,2365,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-10-21
Atlas Mutual Insurance,75871,MA,2025-04-18,Workers Comp,Rate Increase,7.8,2025-05-25,1.0,1.078,"MA-North, MA-South",2.4,2366,2551,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-05-21
Atlas Mutual Insurance,75871,MD,2025-11-04,Workers Comp,Rate Increase,11.3,2026-02-10,1.0,1.113,"MD-North, MD-South",1.5,1909,2125,Premium Above Market Avg,Premium,Actuarial Department,Approved,2026-02-09
Atlas Mutual Insurance,75871,NC,2024-11-28,Workers Comp,New Filing,0.0,2025-01-23,1.0,1.0,"NC-East, NC-South",5.9,2818,2818,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Atlas Mutual Insurance,75871,NJ,2025-07-27,Workers Comp,Rate Increase,3.7,2025-11-06,1.0,1.037,"NJ-West, NJ-Central",9.0,1138,1180,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-09-26
Atlas Mutual Insurance,75871,NY,2025-01-18,Workers Comp,Rate Decrease,-7.8,2025-04-14,1.0,0.922,"NY-East, NY-South",5.0,2065,1904,Premium Below Market Avg,Budget,Actuarial Department,Pending,
