Company,LOB,Date,Currency,State,NetEarnedPremium_MUSD,NetWrittenPremium_MUSD,GrossWrittenPremium_MUSD,ClaimPaid_MUSD,LAE_MUSD,LossRatio_Pct,Expenses_MUSD,Retention_Ratio_Pct,Combined_Ratio_Pct,AvgSettlementDays,LitigationRate_Pct,ClaimSettlementRatio_Pct,RenewalRate_Pct,NewPoliciesIssued_Pct
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,CA,280,287,312,195,22,77.5,78,91.99,105.36,36,13.21,89.23,11.76,2.59
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,CA,958,986,1037,630,62,72.2,234,95.08,96.66,21,10.74,94.02,10.77,8.29
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,FL,973,1001,1089,676,78,77.5,278,91.92,106.06,38,9.59,92.64,9.72,2.8
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,FL,291,299,314,192,19,72.5,78,95.22,99.31,18,12.13,90.83,11.5,8.06
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,MA,452,465,506,314,36,77.4,95,91.9,98.45,39,13.69,92.04,10.46,2.21
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,MA,444,456,480,292,29,72.3,132,95,102.03,26,5.23,90.32,9.65,5
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,MD,586,603,656,407,47,77.5,162,91.92,105.12,38,11.82,92.43,8.19,2.34
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,MD,725,746,784,477,47,72.3,202,95.15,100.14,25,5.14,93.73,9.56,9.56
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,NC,897,923,1004,624,72,77.6,191,91.93,98.89,40,5.59,93.34,9,2.96
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,NC,115,117,123,76,7,72.2,28,95.12,96.52,22,7.52,91.68,9.12,6.24
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,NJ,3735,3846,4183,2596,299,77.5,885,91.94,101.2,40,14.76,92.61,10.07,2.88
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,NJ,125,128,134,82,8,72,37,95.52,101.6,22,14.16,91.99,10.19,6.65
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,NY,1257,1294,1408,874,101,77.6,332,91.9,103.98,38,12.75,91.84,11.52,2.53
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,NY,574,590,620,378,37,72.3,162,95.16,100.52,22,11.72,91.31,8.98,7.95
